Ensembl ID,Gene.name,Gene.description,logFC,logCPM,F,PValue,FDR,#NAME?,,,,
ENSMUSG00000034450,Gulo,gulonolactone (L-) oxidase [Source:MGI Symbol;Acc:MGI:1353434],-0.716343827,5.424936002,31.97929042,3.49E-05,0.005898027,2.229293267,,,,
ENSMUSG00000000204,Slfn4,schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010],-0.615428402,4.940220534,31.94785122,3.51E-05,0.005898027,2.229293267,,,,
ENSMUSG00000037849,Ifi206,interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410],-1.068041976,1.857421647,31.3051693,3.92E-05,0.006017411,2.220590306,,,,
ENSMUSG00000039323,Igfbp2,insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437],-0.972533695,7.71393522,31.10823487,4.06E-05,0.006159059,2.210485619,,,,
ENSMUSG00000007207,Stx1a,syntaxin 1A (brain) [Source:MGI Symbol;Acc:MGI:109355],-0.780594707,2.689176646,29.79702603,5.13E-05,0.007141688,2.146199127,,,,
ENSMUSG00000046718,Bst2,bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800],-0.660881887,4.934173201,29.8139931,5.11E-05,0.007141688,2.146199127,,,,
ENSMUSG00000035692,Isg15,ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694],-1.370265132,6.12136727,29.16985145,5.75E-05,0.007731765,2.111721349,,,,
ENSMUSG00000028919,Arhgef19,Rho guanine nucleotide exchange factor (GEF) 19 [Source:MGI Symbol;Acc:MGI:1925912],-0.619163999,3.429420502,28.87728568,6.06E-05,0.007735552,2.111508717,,,,
ENSMUSG00000019935,Slc17a8,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8 [Source:MGI Symbol;Acc:MGI:3039629]",-1.01127313,2.617899339,28.36212196,6.67E-05,0.008255845,2.083238491,,,,
ENSMUSG00000052776,Oas1a,2'-5' oligoadenylate synthetase 1A [Source:MGI Symbol;Acc:MGI:2180860],-0.834387554,2.944026804,26.89216676,8.82E-05,0.009603666,2.017562952,,,,
ENSMUSG00000058806,Col13a1,"collagen, type XIII, alpha 1 [Source:MGI Symbol;Acc:MGI:1277201]",-0.659736722,2.632581405,26.7838791,9.01E-05,0.009603666,2.017562952,,,,
ENSMUSG00000025492,Ifitm3,interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391],-0.600652309,5.968950621,26.42146994,9.67E-05,0.009867209,2.00580568,,,,
ENSMUSG00000030382,Slc27a5,"solute carrier family 27 (fatty acid transporter), member 5 [Source:MGI Symbol;Acc:MGI:1347100]",-0.590428845,6.285383975,26.26802023,9.96E-05,0.009922053,2.003398471,,,,
ENSMUSG00000022877,Hrg,histidine-rich glycoprotein [Source:MGI Symbol;Acc:MGI:2146636],-0.589690039,7.566520108,25.52329157,0.000115425,0.010739611,1.969011446,,,,
ENSMUSG00000028150,Rorc,RAR-related orphan receptor gamma [Source:MGI Symbol;Acc:MGI:104856],-0.617809128,3.968977005,25.19506036,0.000123284,0.010913007,1.962055559,,,,
ENSMUSG00000058163,Gm5431,predicted gene 5431 [Source:MGI Symbol;Acc:MGI:3645205],-0.911791038,1.814112156,24.76119993,0.000134615,0.011178049,1.951633982,,,,
ENSMUSG00000025479,Cyp2e1,"cytochrome P450, family 2, subfamily e, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88607]",-1.445413155,6.632955847,24.55345472,0.000140452,0.011305435,1.946712719,,,,
ENSMUSG00000078921,Tgtp2,T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083],-1.412375434,0.869896911,24.5152311,0.000141557,0.011305435,1.946712719,,,,
ENSMUSG00000066072,Cyp4a10,"cytochrome P450, family 4, subfamily a, polypeptide 10 [Source:MGI Symbol;Acc:MGI:88611]",-0.959853076,4.935954077,22.8971966,0.00019868,0.013991103,1.85414806,,,,
ENSMUSG00000024029,Tff3,"trefoil factor 3, intestinal [Source:MGI Symbol;Acc:MGI:104638]",-0.593640946,6.82077646,22.89257294,0.000198877,0.013991103,1.85414806,,,,
ENSMUSG00000075602,Ly6a,"lymphocyte antigen 6 complex, locus A [Source:MGI Symbol;Acc:MGI:107527]",-1.148485207,1.442905299,22.80750897,0.000202536,0.014114144,1.850345446,,,,
ENSMUSG00000029630,Cyp3a25,"cytochrome P450, family 3, subfamily a, polypeptide 25 [Source:MGI Symbol;Acc:MGI:1930638]",-1.404653572,4.767409363,22.6197987,0.000210883,0.014211762,1.84735207,,,,
ENSMUSG00000032661,Oas3,2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850],-1.297691345,3.729706916,22.71519097,0.000206594,0.014211762,1.84735207,,,,
ENSMUSG00000051716,Apon,apolipoprotein N [Source:MGI Symbol;Acc:MGI:88931],-0.835404782,3.418858887,22.54083166,0.000214509,0.014211762,1.84735207,,,,
ENSMUSG00000074254,Cyp2a4,"cytochrome P450, family 2, subfamily a, polypeptide 4 [Source:MGI Symbol;Acc:MGI:88596]",-0.74401773,3.758214317,22.61037424,0.000211312,0.014211762,1.84735207,,,,
ENSMUSG00000058672,Tubb2a,"tubulin, beta 2A class IIA [Source:MGI Symbol;Acc:MGI:107861]",-0.676818194,6.715075406,22.57656636,0.00021286,0.014211762,1.84735207,,,,
ENSMUSG00000053835,H2-T24,"histocompatibility 2, T region locus 24 [Source:MGI Symbol;Acc:MGI:95958]",-0.598543616,6.193220443,22.31218217,0.000225412,0.014375836,1.842366885,,,,
ENSMUSG00000069922,Ces3a,carboxylesterase 3A [Source:MGI Symbol;Acc:MGI:102773],-0.91608804,4.783944218,21.9373048,0.000244667,0.014840057,1.828564426,,,,
ENSMUSG00000042248,Cyp2c37,"cytochrome P450, family 2. subfamily c, polypeptide 37 [Source:MGI Symbol;Acc:MGI:1306806]",-1.157999326,3.611558085,21.26110599,0.000284273,0.016509608,1.782263244,,,,
ENSMUSG00000041798,Gck,glucokinase [Source:MGI Symbol;Acc:MGI:1270854],-1.448638338,4.414367388,21.16785392,0.000290282,0.016787143,1.775023215,,,,
ENSMUSG00000030946,Lhpp,phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:MGI Symbol;Acc:MGI:1923679],-0.68633521,4.0226061,21.04023537,0.000298738,0.017131013,1.766216956,,,,
ENSMUSG00000031886,Ces2e,carboxylesterase 2E [Source:MGI Symbol;Acc:MGI:2443170],-0.72934486,3.763313311,20.56712519,0.000332603,0.018079975,1.742802176,,,,
ENSMUSG00000058207,Serpina3k,"serine (or cysteine) peptidase inhibitor, clade A, member 3K [Source:MGI Symbol;Acc:MGI:98377]",-1.693167553,7.39273906,20.44284914,0.000342201,0.01820155,1.739891625,,,,
ENSMUSG00000045932,Ifit2,interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449],-0.62319394,4.646617656,20.34448472,0.00035002,0.01837338,1.735810943,,,,
ENSMUSG00000074896,Ifit3,interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055],-0.783375664,4.187154084,20.31359474,0.000352517,0.018433549,1.734391052,,,,
ENSMUSG00000042289,Hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:MGI Symbol;Acc:MGI:2141879]",-0.768211757,2.181680504,20.22250512,0.000359998,0.018640756,1.729536488,,,,
ENSMUSG00000062488,Ifit3b,interferon-induced protein with tetratricopeptide repeats 3B [Source:MGI Symbol;Acc:MGI:3698419],-0.983339338,2.252258015,20.08191675,0.000371897,0.018903922,1.723448082,,,,
ENSMUSG00000039457,Ppl,periplakin [Source:MGI Symbol;Acc:MGI:1194898],-0.64090578,2.697886916,19.31214053,0.000445458,0.020533952,1.687527448,,,,
ENSMUSG00000059908,Mug1,murinoglobulin 1 [Source:MGI Symbol;Acc:MGI:99837],-1.842137836,0.890434756,18.73045503,0.000511984,0.021907881,1.659399622,,,,
ENSMUSG00000075551,Cyp3a41a,"cytochrome P450, family 3, subfamily a, polypeptide 41A [Source:MGI Symbol;Acc:MGI:1858451]",-1.511133248,1.509735853,18.63938984,0.000523381,0.022046632,1.656657755,,,,
ENSMUSG00000004098,Col5a3,"collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]",-0.63134409,3.373384004,18.02442885,0.000608278,0.024274189,1.614855268,,,,
ENSMUSG00000022613,Miox,myo-inositol oxygenase [Source:MGI Symbol;Acc:MGI:1891725],-0.778119289,2.14925387,17.83714591,0.000637141,0.025181654,1.598915743,,,,
ENSMUSG00000010651,Acaa1b,acetyl-Coenzyme A acyltransferase 1B [Source:MGI Symbol;Acc:MGI:3605455],-0.738110085,4.923789347,17.82920868,0.000638398,0.025181654,1.598915743,,,,
ENSMUSG00000028331,Trmo,tRNA methyltransferase O [Source:MGI Symbol;Acc:MGI:1922003],-0.667882239,3.760686642,17.79524834,0.000643807,0.025217723,1.598294134,,,,
ENSMUSG00000020607,Lratd1,LRAT domain containing 1 [Source:MGI Symbol;Acc:MGI:2145011],-0.911442983,1.091054284,17.76275853,0.000649031,0.02530464,1.596799836,,,,
ENSMUSG00000015942,Gtf2ird2,GTF2I repeat domain containing 2 [Source:MGI Symbol;Acc:MGI:2149780],-0.597868868,3.002112622,17.75171452,0.000650818,0.02530464,1.596799836,,,,
ENSMUSG00000023886,Smoc2,SPARC related modular calcium binding 2 [Source:MGI Symbol;Acc:MGI:1929881],-0.616315117,4.571911467,17.7287638,0.000654548,0.025306728,1.596764008,,,,
ENSMUSG00000040584,Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A [Source:MGI Symbol;Acc:MGI:97570]",-0.685398761,2.025635698,17.31631731,0.000725877,0.026002011,1.584993067,,,,
ENSMUSG00000072115,Ang,"angiogenin, ribonuclease, RNase A family, 5 [Source:MGI Symbol;Acc:MGI:88022]",-0.895667907,1.33493879,17.07399391,0.000771855,0.026941886,1.569572001,,,,
ENSMUSG00000034168,Irf2bpl,interferon regulatory factor 2 binding protein-like [Source:MGI Symbol;Acc:MGI:2442463],-0.605353316,3.210024853,16.95485312,0.000795659,0.027540128,1.560034046,,,,
ENSMUSG00000110384,Gm45301,predicted gene 45301 [Source:MGI Symbol;Acc:MGI:5791137],-1.700415059,0.080801588,16.91057292,0.000804717,0.027594913,1.559170967,,,,
ENSMUSG00000032735,Ablim3,"actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]",-0.775355637,2.46685222,16.52218201,0.000889346,0.028899495,1.539109741,,,,
ENSMUSG00000066760,Psg16,pregnancy specific glycoprotein 16 [Source:MGI Symbol;Acc:MGI:1347249],-2.949384874,1.854699621,16.15904134,0.000977656,0.030388412,1.517291993,,,,
ENSMUSG00000034459,Ifit1,interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450],-0.931373751,3.937263876,16.11394026,0.000989299,0.030478442,1.51600723,,,,
ENSMUSG00000018604,Tbx3,T-box 3 [Source:MGI Symbol;Acc:MGI:98495],-0.741761534,2.457037299,15.88928083,0.001049678,0.030875026,1.510392674,,,,
ENSMUSG00000000686,Abhd15,abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727],-0.776573682,2.037750981,15.25105069,0.001245201,0.033786302,1.471259337,,,,
ENSMUSG00000054072,Iigp1,interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259],-0.58774996,6.50275707,15.20330349,0.001261409,0.034086534,1.467417151,,,,
ENSMUSG00000038370,Pcp4l1,Purkinje cell protein 4-like 1 [Source:MGI Symbol;Acc:MGI:1913675],-0.633202056,2.885030577,15.1684564,0.001273387,0.03427848,1.464978447,,,,
ENSMUSG00000004113,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit [Source:MGI Symbol;Acc:MGI:88296]",-1.237180682,0.371979668,14.85671751,0.001386456,0.035905782,1.444835613,,,,
ENSMUSG00000079017,Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]",-0.863065475,1.957705011,14.87784121,0.001378446,0.035905782,1.444835613,,,,
ENSMUSG00000027514,Zbp1,Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449],-0.794235849,2.172182536,14.86377931,0.001383772,0.035905782,1.444835613,,,,
ENSMUSG00000105837,Gm35986,"predicted gene, 35986 [Source:MGI Symbol;Acc:MGI:5595145]",-0.864082829,1.038069392,14.79441443,0.001410389,0.03634529,1.439551858,,,,
ENSMUSG00000101397,Mug-ps1,"murinoglobulin, pseudogene 1 [Source:MGI Symbol;Acc:MGI:99838]",-2.657384742,0.186532075,14.7778881,0.001416815,0.036415618,1.438712318,,,,
ENSMUSG00000040505,Abcg5,ATP binding cassette subfamily G member 5 [Source:MGI Symbol;Acc:MGI:1351659],-0.873780912,1.566464987,14.34945179,0.001595542,0.03888563,1.410210858,,,,
ENSMUSG00000035283,Adrb1,"adrenergic receptor, beta 1 [Source:MGI Symbol;Acc:MGI:87937]",-0.954855871,0.368111734,14.1480781,0.001688249,0.040211546,1.395649224,,,,
ENSMUSG00000074811,Hps6,"HPS6, biogenesis of lysosomal organelles complex 2 subunit 3 [Source:MGI Symbol;Acc:MGI:2181763]",-0.686624303,1.75610963,13.83993378,0.001842137,0.041681043,1.380061426,,,,
ENSMUSG00000000386,Mx1,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243],-0.688208672,3.15123325,13.8044947,0.00186083,0.041702148,1.379841579,,,1.5,0.584962501
ENSMUSG00000071041,Impdh2-ps,"inosine monophosphate dehydrogenase 2, pseudogene [Source:MGI Symbol;Acc:MGI:3705743]",-0.928821662,0.475709685,13.78157307,0.001873035,0.041789041,1.378937594,,,,
ENSMUSG00000105504,Gbp5,guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943],-0.67449251,1.628206271,13.35349554,0.00211845,0.044208874,1.354490551,,,,
ENSMUSG00000030806,Stx1b,syntaxin 1B [Source:MGI Symbol;Acc:MGI:1930705],-0.607789142,1.808699372,13.24414285,0.002186838,0.044999653,1.34679084,,,,
ENSMUSG00000115388,Eppk1,epiplakin 1 [Source:MGI Symbol;Acc:MGI:2386306],-1.029231561,1.54181454,13.12969818,0.002261097,0.045582648,1.34120045,,,,
ENSMUSG00000002831,Plin4,perilipin 4 [Source:MGI Symbol;Acc:MGI:1929709],-0.632509381,3.134105699,12.940813,0.002389981,0.047273128,1.325385662,,,,
ENSMUSG00000029168,Dpysl5,dihydropyrimidinase-like 5 [Source:MGI Symbol;Acc:MGI:1929772],-0.90167656,0.360455351,12.84804827,0.002456306,0.047551295,1.322837655,,,,
ENSMUSG00000040690,Col16a1,"collagen, type XVI, alpha 1 [Source:MGI Symbol;Acc:MGI:1095396]",-0.740402032,3.516444054,12.85023687,0.002454717,0.047551295,1.322837655,,,,
ENSMUSG00000090306,Adh6-ps1,"alcohol dehydrogenase 6 (class V), pseudogene 1 [Source:MGI Symbol;Acc:MGI:1918999]",-1.063580264,0.606164745,12.66271901,0.002595143,0.048853126,1.311107638,,,,
ENSMUSG00000024254,Abcg8,ATP binding cassette subfamily G member 8 [Source:MGI Symbol;Acc:MGI:1914720],-0.649123116,2.407898089,12.47816207,0.002742289,0.050048466,1.300609226,,,,
ENSMUSG00000037638,Zbtb42,zinc finger and BTB domain containing 42 [Source:MGI Symbol;Acc:MGI:3644133],-0.822218092,1.602935994,12.31013761,0.002884506,0.051528452,1.287952904,,,,
ENSMUSG00000082292,Gm12250,predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299],-0.614382741,1.691775036,12.2942741,0.002898359,0.051690488,1.286589368,,,,
ENSMUSG00000033987,Dnah17,"dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]",-0.831807361,5.856050448,12.16959176,0.003009896,0.052710052,1.278106551,,,,
ENSMUSG00000037010,Apln,apelin [Source:MGI Symbol;Acc:MGI:1353624],-1.215142026,0.359727181,12.09673631,0.003077315,0.053051442,1.275302805,,,,
ENSMUSG00000048126,Col6a3,"collagen, type VI, alpha 3 [Source:MGI Symbol;Acc:MGI:88461]",-0.710038907,5.280864397,11.99402624,0.003175285,0.05338759,1.272559683,,,,
ENSMUSG00000073491,Ifi213,interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276],-0.682250342,2.176757962,11.96792085,0.003200745,0.05340314,1.272433208,,,,
ENSMUSG00000028047,Thbs3,thrombospondin 3 [Source:MGI Symbol;Acc:MGI:98739],-0.71783036,1.563186148,11.85311528,0.00331549,0.054488043,1.263698788,,,,
ENSMUSG00000017167,Cntnap1,contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201],-0.829290007,1.138083802,11.76871075,0.003402822,0.055156432,1.258403838,,,,
ENSMUSG00000061462,Obscn,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:MGI Symbol;Acc:MGI:2681862]",-0.597049245,2.647408057,11.63296598,0.003548794,0.05664789,1.246816258,,,,
ENSMUSG00000087006,Gm13889,predicted gene 13889 [Source:MGI Symbol;Acc:MGI:3652053],-0.784382457,1.136122451,11.31689665,0.003916987,0.059664101,1.2242869,,,,
ENSMUSG00000025396,Hsd17b6,hydroxysteroid (17-beta) dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:1351670],-0.949049213,3.348440407,11.15193101,0.004126225,0.061211645,1.213165947,,,,
ENSMUSG00000079429,Mroh2a,maestro heat-like repeat family member 2A [Source:MGI Symbol;Acc:MGI:3705228],-0.735375547,4.403666389,11.05685776,0.004252551,0.062407333,1.204764379,,,,
ENSMUSG00000054417,Cyp3a44,"cytochrome P450, family 3, subfamily a, polypeptide 44 [Source:MGI Symbol;Acc:MGI:2449818]",-1.185333516,1.514056706,11.01163295,0.004314177,0.062964037,1.200907433,,,,
ENSMUSG00000035285,Nat14,N-acetyltransferase 14 [Source:MGI Symbol;Acc:MGI:3039561],-1.028793668,0.31689997,10.9439422,0.004408316,0.063315423,1.198490486,,,,
ENSMUSG00000036040,Adamtsl2,ADAMTS-like 2 [Source:MGI Symbol;Acc:MGI:1925044],-0.742078827,2.032024761,10.86541183,0.00452046,0.064140752,1.192865955,,,,
